Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Днепропетровск;Отделение № 1: ул. Маршала Малиновского, 98а;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 08:00, Вт: 08:00, Ср: 08:00, Чт: 08:00, Пт: 08:00, Сб: 09:00, Вс: Выходной;Пн: До 21:00, Вт: До 21:00, Ср: До 21:00, Чт: До 21:00, Пт: До 21:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №2: ул. Академика Янгеля, 40;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №3: ул. Тверская, 1;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №4: ул. Ленинградская, 19;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №5 (до 30 кг): ул. Плеханова, 5а;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 12:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №6: ул. Ударников, 27;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №7 (до 30 кг): просп. Кирова, 8а;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №8: просп. Гагарина, 112а;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №9 (до 30 кг): ул. Шмидта, 4а;(056) 795-99-09;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
Днепропетровск;Отделение №10: ул. Собинова, 10а;(056) 795-99-09;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-18:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 11:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 18:00, Вс: Выходной
