Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Харьков;Отделение №1: ул. Плехановская, 126;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 20:00, Вт: До 20:00, Ср: До 20:00, Чт: До 20:00, Пт: До 20:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №2: просп. Московский, 54а;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 12:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №3: ул. Якира, 124;(057) 727-63-27;Пн: 08:00-23:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: 09:00-17:00;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №4: ул. Достоевского, 5;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 12:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;"Отделение № 5: пгт. Песочин, пл. Ю. Кононенко, 1а (Авторынок ""Лоск"", здание ""Приват Банка"")";(057) 727-63-27;Пн: -, Вт: 08:00-16:00, Ср: 08:00-16:00, Чт: 08:00-16:00, Пт: 08:00-16:00, Сб: 09:00-16:00, Вс: 09:00-14:00;Пн: -, Вт: 14:00, Ср: 14:00, Чт: 14:00, Пт: 14:00, Сб: 14:00, Вс: Выходной;Пн: -, Вт: До 15:00, Ср: До 15:00, Чт: До 15:00, Пт: До 15:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №6: ул. Академика Павлова, 120;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: 09:00-17:00;Пн: 15:00, Вт: 15:00, Ср: 15:00, Чт: 15:00, Пт: 15:00, Сб: 14:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №7: просп. Победы, 55е;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: 09:00-17:00;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 14:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №8 (до 30 кг): ул. Малогончаровская, 28/30;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: 09:00-17:00;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №9 (до 30кг): ул. Роганская, 101а;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
Харьков;Отделение №10 (до 10 кг): ул. Чайковского, 5/7/9;(057) 727-63-27;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:30, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 14:00, Вс: Выходной
