Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Херсон;Отделение №1: просп. Адмирала Сенявина, 27;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Херсон;Отделение №2 (до 30 кг на одно место): ул. Ушакова, 50;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение №3 (до 30 кг на одно место): просп. Адмирала Сенявина, 11а;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение №4: ул. Патона, 3а;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение №5 (до 30 кг): ул. Розы Люксембург, 11а;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение № 6 (до 30 кг на одно место): ул. Горького, 9;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение № 7 (до 30 кг на одно место): просп. 200 лет Херсона, 30;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение № 8: ул. Перекопская ,173;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение №9 (до 30 кг): ул. Димитрова, 23;(0552) 701-244;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
Херсон;Отделение №10 (до 30 кг на одно место): ул. Греческая (Ленина), 40;(0552) 701-244;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 15:00, Вс: Выходной
