Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Кривой Рог;Отделение №1: ул. Куприна, 123б;(0564) 999-630;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 16:30, Вс: Выходной
Кривой Рог;Отделение №2: ул. Леонида Бородича, 17;(0564) 999-630;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: 09:00-15:00;Пн: 14:30, Вт: 14:30, Ср: 14:30, Чт: 14:30, Пт: 14:30, Сб: 14:30, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение №3 (до 30 кг на одно место): ул. Кропивницкого, 29в;(0564) 999-630;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:30, Вт: 13:30, Ср: 13:30, Чт: 13:30, Пт: 13:30, Сб: 13:30, Вс: Выходной;Пн: До 16:00, Вт: До 16:00, Ср: До 16:00, Чт: До 16:00, Пт: До 16:00, Сб: До 15:30, Вс: Выходной
Кривой Рог;Отделение №4 (до 30 кг на одно место): ул. Постишева, 2a;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 12:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 16:30, Вс: Выходной
Кривой Рог;Отделение №5: ул. 27 Партсъезда, 9б;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 13:00, Вт: 13:00, Ср: 13:00, Чт: 13:00, Пт: 13:00, Сб: 13:00, Вс: Выходной;Пн: До 16:30, Вт: До 16:30, Ср: До 16:30, Чт: До 16:30, Пт: До 16:30, Сб: До 15:30, Вс: Выходной
Кривой Рог;Отделение №6 (до 30 кг на одно место): ул. Тухачевского, 41 (пом.65);(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 16:30, Вс: Выходной
Кривой Рог;Отделение №7 (до 30 кг на одно место): ул. Ленина, 55;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение №8: ул. Курчатова, 1г;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 12:30, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 16:00, Вс: Выходной
Кривой Рог;Отделение №9 (до 30 кг на одно место): ул. Щорса, 23а;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:00, Вт: 12:00, Ср: 12:00, Чт: 12:00, Пт: 12:00, Сб: 12:00, Вс: Выходной;Пн: До 17:00, Вт: До 17:00, Ср: До 17:00, Чт: До 17:00, Пт: До 17:00, Сб: До 17:00, Вс: Выходной
Кривой Рог;Отделение № 10 (до 30 кг на одно место): ул. Кириленка 25;(0564) 999-630;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 12:30, Вт: 12:30, Ср: 12:30, Чт: 12:30, Пт: 12:30, Сб: 12:30, Вс: Выходной;Пн: До 16:30, Вт: До 16:30, Ср: До 16:30, Чт: До 16:30, Пт: До 16:30, Сб: До 16:00, Вс: Выходной
