Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Николаев;Отделение №1: ул. 1-я Слободская, 62;(0512) 45-13-60;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-20:00, Вс: 08:00-20:00;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 20:00, Вт: До 20:00, Ср: До 20:00, Чт: До 20:00, Пт: До 20:00, Сб: До 20:00, Вс: Выходной
Николаев;Отделение №2: ул. Мореходная, 1а;(0512) 45-13-60;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-20:00, Вс: Выходной;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 20:00, Вт: До 20:00, Ср: До 20:00, Чт: До 20:00, Пт: До 20:00, Сб: До 20:00, Вс: Выходной
Николаев;Отделение №3: ул. Электронная, 81/7;(0512) 45-13-60;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-20:00, Вс: 08:00-15:00;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 20:00, Вт: До 20:00, Ср: До 20:00, Чт: До 20:00, Пт: До 20:00, Сб: До 20:00, Вс: Выходной
Николаев;Отделение №4 (до 30 кг на одно место): просп. Октябрьский, 330;(0512) 45-13-60;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-19:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 19:00, Вс: Выходной
Николаев;Отделение №5 (до 30 кг на одно место): просп. Героев Сталинграда, 77/1;(0512) 45-13-60;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-19:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 19:00, Вс: Выходной
Николаев;Отделение №6 (до 30 кг на одно место): ул. Советская, 13/4;(0512) 451-360;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 17:00, Вс: Выходной
Николаев;Отделение №7 (до 30 кг): ул. Космонавтов, 62;(0512) 45-13-60;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 17:00, Вс: Выходной
Николаев;Отделение №8 (до 30 кг): ул. Никольская, 49;(0512) 45-13-60;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 17:00, Вс: Выходной
Николаев;Отделение № 9 (до 30 кг на одно место): ул. Генерала Карпенка, 2/2 а;(0512) 45-13-60;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 17:00, Вс: Выходной
Николаев;Отделение №10 (до 30 кг): просп.Ленина, 86/3;(0512) 451-360;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 17:00, Вс: Выходной
