Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Полтава;Отделение №1: ул. Фрунзе, 225;(0532) 69-61-69;Пн: 08:00-21:00, Вт: 08:00-21:00, Ср: 08:00-21:00, Чт: 08:00-21:00, Пт: 08:00-21:00, Сб: 08:00-21:00, Вс: 08:00-17:00;Пн: 08:00, Вт: 08:00, Ср: 08:00, Чт: 08:00, Пт: 08:00, Сб: 08:00, Вс: Выходной;Пн: До 20:00, Вт: До 20:00, Ср: До 20:00, Чт: До 20:00, Пт: До 20:00, Сб: До 20:00, Вс: Выходной
Полтава;Отделение №2: ул. Ковпака, 26;(0532) 69-61-69;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение №3 (до 30 кг на одно место): ул. Пушкина, 46;(0532) 69-61-69;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 09:00, Вт: 09:00, Ср: 09:00, Чт: 09:00, Пт: 09:00, Сб: 09:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение №4 (до 30 кг на одно место): ул. Панянка, 65б;(0532) 69-61-69;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение №5 (до 30 кг): ул. Октябрьская, 73;(0532) 69-61-69;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 09:30, Вт: 09:30, Ср: 09:30, Чт: 09:30, Пт: 09:30, Сб: 09:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение № 6 (до 30 кг одно место): ул. Калинина, 9;(0532) 69-61-69;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 09:30, Вт: 09:30, Ср: 09:30, Чт: 09:30, Пт: 09:30, Сб: 09:30, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение № 7 (до 30 кг на одно место): ул. М. Бирюзова, 43 а;(0532) 69-61-69;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение № 8: (до 30 кг на одно место): ул. Чураивны 2 в;(0532) 69-61-69;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение № 9 (до 30 кг на одно место): ул. Комсомольская, 28;(0532) 69-61-69;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 08:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
Полтава;Отделение №10 (до 30 кг на одно место): ул. Фрунзе, 63;(0532) 69-61-69;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 16:00, Вс: Выходной
