Город;Адрес;Телефон;График работы;Время прибытия отправления;Прием отправления для отправки в тот же день
Запорожье;Отделение №1: ул. Брянская, 8;14/10/(061) 214;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 19:00, Вт: До 19:00, Ср: До 19:00, Чт: До 19:00, Пт: До 19:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №2: ул. Карпенко-Карого, 52;14/10/(061) 214;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №3: ул. Айвазовского, 9 (правый берег);14/10/(061) 214;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №4 (до 30 кг на одно место): ул. Якова Новицкого, 4;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №5 (до 30 кг на одно место): просп. Ленина, 91;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: 09:00-15:00;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №6: просп. Юбилейній, 12;14/10/(061) 214;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №7: ул. Космическая, 119;14/10/(061) 214;Пн: 08:00-20:00, Вт: 08:00-20:00, Ср: 08:00-20:00, Чт: 08:00-20:00, Пт: 08:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 09:30, Вт: 09:30, Ср: 09:30, Чт: 09:30, Пт: 09:30, Сб: 09:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №8 (до 30 кг на одне місце): просп. Ленина, 43;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №9 (до 30 кг на одно место): просп. Металлургов, 17;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №10 (до 30 кг): ул. Гаврилова, 7;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 11:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №11 (до 30 кг): бульв. Шевченко, 27;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 12 (до 30 кг): ул. Звенигородская, 1;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 13 (до 30 кг): ул. Сталеваров, 21;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 14 (до 30 кг) : ул. Ладо жская, 14;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 09:30, Вт: 09:30, Ср: 09:30, Чт: 09:30, Пт: 09:30, Сб: 10:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 15 (до 30 кг на одно место): ул. Курузова, 5;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 16 (до 30 кг на одно место): просп. Ленина, 84;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 17 (до 30 кг на одно место): ул. Авраменка, 13;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №18 (до 30 кг на одно место): ул. Орджоникидзе,11;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №19 (до 30 кг на одно место): ул. Чумаченка, 37;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:30, Вт: 11:30, Ср: 11:30, Чт: 11:30, Пт: 11:30, Сб: 11:30, Вс: Выходной;Пн: До 17:30, Вт: До 17:30, Ср: До 17:30, Чт: До 17:30, Пт: До 17:30, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №20 (до 30 кг на одно место): ул. Лермонтова, 15 (ул. Патриотическая, 48);14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:00, Вт: 10:00, Ср: 10:00, Чт: 10:00, Пт: 10:00, Сб: 10:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №21 ( до 30 кг на одно место): ул. Новгородска, 9;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №22 (до 30 кг на одно место): ул. Чаривная, 121;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 11:00, Вт: 11:00, Ср: 11:00, Чт: 11:00, Пт: 11:00, Сб: 11:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение № 23 (до 30 кг на одно место): ул. Гагарина, 4;14/10/(061) 214;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 09:00, Вт: 09:00, Ср: 09:00, Чт: 09:00, Пт: 09:00, Сб: 09:00, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
Запорожье;Отделение №24 ( до 30 кг на одно место): ул. Энтузиастов, 3, пом.37;0-800-500-609;Пн: 09:00-20:00, Вт: 09:00-20:00, Ср: 09:00-20:00, Чт: 09:00-20:00, Пт: 09:00-20:00, Сб: 09:00-17:00, Вс: Выходной;Пн: 10:30, Вт: 10:30, Ср: 10:30, Чт: 10:30, Пт: 10:30, Сб: 10:30, Вс: Выходной;Пн: До 18:00, Вт: До 18:00, Ср: До 18:00, Чт: До 18:00, Пт: До 18:00, Сб: До 17:00, Вс: Выходной
